
Custo: 1975568 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1975553 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1975248 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1974887 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1974844 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1974558 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1974420 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1974413 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1974327 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1973911 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1973727 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1973661 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1973473 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1973412 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1973369 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1973177 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1972655 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1972218 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1971941 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1971905 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1971887 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1971674 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1971604 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1971228 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1971188 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1970739 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1970557 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1970477 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1970234 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1970140 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1970034 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1969646 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1969283 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1969272 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1969098 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1968360 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1968220 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1968175 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1968103 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1968051 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1967950 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1967908 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1967854 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1967603 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1967480 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1967169 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1966915 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1966844 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
